timestamp,ip_address,login_success,attempts_from_ip,failed_attempts,login_duration_seconds,request_size_bytes,requests_per_minute,is_credential_stuffing
2025-08-18 15:35:44,10.143.16.134,3,5,2,7.241658539950276,287,1,0
2025-08-03 00:44:44,73.85.218.128,4,5,1,3.972747549495866,476,2,0
2025-09-17 20:59:44,172.26.176.90,1,3,2,7.384979779038503,762,4,0
2025-08-01 22:24:44,10.84.223.50,1,2,1,6.3958310355588255,1097,2,0
2025-08-10 08:24:44,10.155.102.165,2,3,1,10.275311980955747,765,1,0
2025-10-29 09:32:44,138.251.202.109,2,99,97,6.5321033040254015,2315,18,1
2025-08-08 21:21:44,192.168.235.242,5,5,0,9.214516319293875,387,1,0
2025-10-29 03:33:44,138.0.44.28,5,74,69,11.811426770153204,2995,23,1
2025-09-19 06:05:44,10.26.43.232,2,2,0,9.72617377558581,1271,3,0
2025-09-12 23:11:44,98.242.54.93,3,3,0,11.650990680636564,966,1,0
2025-08-13 17:42:44,172.19.224.72,1,2,1,9.909745757692926,295,1,0
2025-09-23 23:42:44,172.16.141.176,3,3,0,9.384116530839504,777,2,0
2025-08-29 01:16:44,10.145.187.189,3,4,1,2.709231365809427,389,0,0
2025-08-14 04:11:44,10.246.164.174,1,1,0,1.0973298274366698,848,2,0
2025-09-27 12:33:44,192.168.200.241,2,3,1,6.653706394812572,641,2,0
2025-09-03 19:15:44,10.67.17.211,1,1,0,9.533900675718556,1054,2,0
2025-09-28 06:42:44,10.125.173.232,3,4,1,9.297754134311509,1407,2,0
2025-10-14 12:05:44,73.86.63.83,1,3,2,5.490920909604302,859,1,0
2025-09-08 03:41:44,73.220.167.205,1,3,2,6.566008295225313,1071,1,0
2025-10-22 20:48:44,192.168.108.198,2,2,0,14.750356806612098,1080,1,0
2025-10-28 19:19:44,51.102.70.161,3,46,43,5.746417074681809,4363,19,1
2025-10-29 10:30:44,185.126.178.127,2,81,79,9.49000683523426,4057,17,1
2025-09-19 08:41:44,98.105.36.226,3,3,0,1.2530550906172921,1015,5,0
2025-09-06 04:47:44,192.168.138.119,3,5,2,7.081521117146001,483,2,0
2025-08-26 19:57:44,10.200.104.11,2,4,2,14.923707151162775,1269,2,0
2025-10-29 02:07:44,45.96.20.52,1,55,54,14.49067967924954,1690,17,1
2025-10-05 02:43:44,192.168.91.176,2,3,1,12.81898397016836,885,0,0
2025-10-03 03:12:44,192.168.91.184,2,2,0,5.515710699340407,445,1,0
2025-10-29 05:26:44,51.148.144.111,5,59,54,13.785367735790597,1535,24,1
2025-08-03 21:46:44,172.23.78.243,2,4,2,9.104108537105821,1053,1,0
2025-10-29 02:44:44,185.17.151.248,4,31,27,1.427003499146692,2337,17,1
2025-08-23 06:29:44,10.113.226.125,5,5,0,3.7213204759282226,1066,4,0
2025-09-05 07:48:44,192.168.84.184,2,3,1,14.47707780549095,1212,0,0
2025-10-28 17:12:44,5.110.128.172,0,43,43,1.3543750157636893,2396,30,1
2025-08-24 00:48:44,172.21.47.107,3,5,2,5.983617501117662,896,1,0
2025-08-14 20:48:44,192.168.33.8,4,4,0,11.687101922054753,1477,2,0
2025-10-19 17:16:44,98.25.7.85,1,2,1,8.014558374813628,715,7,0
2025-09-17 08:02:44,73.158.23.154,3,5,2,6.40543692921084,1266,1,0
2025-09-24 13:57:44,172.20.144.148,2,2,0,10.18011689533039,1169,0,0
2025-10-28 22:28:44,45.119.248.251,2,16,14,10.75432031509811,1912,19,1
2025-10-05 13:42:44,10.94.186.170,2,3,1,13.017778525802164,478,1,0
2025-10-29 00:05:44,138.8.229.98,2,71,69,5.480694414428564,3724,25,1
2025-10-28 13:03:44,138.152.42.159,3,61,58,2.1659817567336352,1895,18,1
2025-09-20 23:21:44,172.20.40.85,1,1,0,7.921884265836141,1446,0,0
2025-08-15 18:27:44,192.168.143.211,3,5,2,3.001883548739702,691,3,0
2025-08-25 07:45:44,10.238.253.77,2,3,1,2.187727997192687,699,2,0
2025-10-11 00:20:44,73.9.236.248,2,4,2,10.871181100153239,238,1,0
2025-08-19 03:35:44,10.137.234.1,1,2,1,11.444628309715926,389,2,0
2025-09-02 00:29:44,192.168.180.80,4,5,1,14.578303573906947,1372,0,0
2025-10-28 12:28:44,5.6.153.250,3,45,42,3.3270160467295407,2666,19,1
2025-08-16 01:04:44,73.228.7.94,1,1,0,14.305760777071821,1171,0,0
2025-09-24 04:16:44,192.168.102.200,1,2,1,4.211526439869296,1068,4,0
2025-10-28 14:57:44,51.252.114.26,1,38,37,14.167445579895368,2208,21,1
2025-10-29 06:00:44,51.59.97.123,5,14,9,12.347746630945661,3724,18,1
2025-09-10 23:41:44,172.19.59.203,1,3,2,7.561704237129584,584,0,0
2025-08-22 07:36:44,10.233.54.162,4,4,0,13.784320531607,876,2,0
2025-09-09 00:01:44,172.19.80.66,1,1,0,3.9011870861127904,687,2,0
2025-10-26 19:02:44,73.126.9.116,1,2,1,12.429400292982873,1189,2,0
